Gene.name;AIREdep
Myh13;yes
Pld5;yes
Nat8f7;no
Kcna10;no
Trem1;yes
Got1l1;no
Upk3a;yes
Klk14;yes
Lingo3;yes
Tff2;yes
Apoc4;yes
Grip2;yes
Rax;yes
Rbpms2;yes
Lgr5;no
Slc13a4;yes
Cdh10;no
Apol6;no
Mrgpra6;no
Csta1;no
Amer3;no
Trim40;yes
Nlrp9c;no
Slitrk3;no
Rhcg;yes
Adh6b;no
Wnt8b;yes
Ccno;yes
Ndst3;yes
Taar5;no
Sprr3;yes
Gdf6;yes
Cfap57;yes
Nr2e3;yes
Gpha2;no
Rcvrn;yes
Adamts16;yes
Cilp;yes
Slc4a5;yes
Klhl4;no
Dok7;yes
C2cd4c;no
Guca1a;yes
Padi4;yes
Ptprh;yes
Sbk3;yes
Kcnd2;no
Ermn;yes
Lamc3;yes
Kank4;yes
Il1f10;yes
Cplx1;yes
Gsdmc;yes
Aldob;yes
Oaz3;yes
Tro;yes
Erich2;no
Slc7a13;no
Htr6;no
Pou3f2;no
Cebpe;yes
Rnase12;no
Lactbl1;no
Agmat;yes
Alx1;yes
Klk11;yes
Orm1;yes
Hyal4;no
Tbxas1;yes
Krtap11-1;no
Clrn2;no
Amhr2;yes
Spag8;yes
Clps;yes
Nxf2;yes
Nrg3;no
Spink1;yes
Klk6;yes
Sycp1;no
Rab3b;yes
Kcnt2;no
Il1rapl2;no
Ptchd3;yes
Ppp1r17;yes
Asb5;yes
Mov10l1;yes
Fkbp11;yes
Tmprss7;yes
Sun5;yes
Acy3;yes
Kprp;yes
Slc12a3;yes
Drd2;yes
Cxcr2;yes
Tex19.2;yes
Chit1;yes
Cd226;no
Frzb;yes
Prl;no
Cryba2;yes
Bpifa3;yes
Erp27;yes
Arhgap36;yes
Ica1l;yes
Caln1;yes
Gm45618;no
Tgm6;yes
Irx1;yes
Krt10;yes
Mbd3l2;no
Rdh1;no
Nhlh1;yes
Slfn2;yes
Vpreb1;no
Barhl2;yes
Zmynd10;yes
Tmem232;no
Tfap2d;yes
Cer1;no
Ttc9b;no
Gabrp;yes
Cd300a;yes
Notum;yes
Clec2m;no
Lman1l;yes
Ces1b;yes
Dnase2b;no
Prr27;no
Pla2g10;yes
Fbp1;yes
Hpd;yes
Rad51ap2;no
Dnah7b;yes
Wfdc5;yes
Bex2;yes
Rnase2b;yes
Dpysl4;yes
Cyp4a30b;yes
Osm;yes
Tagln3;yes
Gm572;yes
Vgll1;no
Atp6v0d2;yes
Sp8;no
Klk1b8;yes
Tsks;yes
Selenbp2;yes
Treh;yes
Car4;yes
Jakmip2;yes
Acmsd;no
Pitpnm3;yes
Clstn3;yes
Defb36;no
Nwd2;yes
Mustn1;yes
Trhde;yes
Pin1;no
C4bp;yes
Iyd;yes
Gm5096;no
Aqp5;yes
Usp13;yes
Cyp2j13;yes
Cdhr3;yes
Dbx1;yes
Capn6;yes
Clcnka;yes
Tmem119;yes
Greb1;yes
C1qtnf9;yes
Oprl1;yes
Olfr323;no
Spdef;yes
Nhlh2;yes
Slc5a1;yes
Tes;no
Wif1;yes
Cd79a;yes
Lhx8;no
Scgb1a1;yes
Olfr1416;no
Cd209f;no
Tmc1;no
Ncam2;yes
Nyap2;no
Cd22;yes
Slc30a10;yes
Cldn14;yes
Fibcd1;yes
Lrrc74b;yes
Tnni1;yes
Cga;yes
Pdcd1;yes
Alox12b;yes
Pgbd5;yes
S100a8;yes
Cabp2;yes
Rbp4;yes
Shisa3;yes
Asb16;no
Fam227b;no
Oas1e;yes
Ppp2r2c;yes
A530016L24Rik;yes
Plscr1;no
Bex4;yes
Kcna4;no
Ephb6;no
Itga7;yes
Tchhl1;yes
Ribc2;no
Klk1b8;yes
P2rx1;yes
Ankk1;yes
Angptl7;no
Muc13;yes
Tmem74;no
Mogat2;yes
Ncmap;yes
Grm5;no
Sult1b1;yes
Hephl1;yes
Krt71;yes
Atp12a;yes
Serpina10;yes
Cyp2j13;no
Capn8;yes
Slc27a5;no
Apoa1;yes
Chchd4;no
Olfr866;no
Gp2;yes
Hes5;no
AU021092;yes
Apol7a;yes
Gp1bb;no
