Gene.name;AIREdep
SLC34A3;yes
PRSS46;no
AWAT1;yes
CD300E;yes
RHBG;yes
TAS1R2;yes
SERPINB5;yes
F12;yes
ARHGEF37;yes
CYP2C19;yes
EPHA8;yes
DKKL1;yes
PDIA2;no
AGAP2;yes
IL22RA1;yes
CES1;yes
SYCP3;no
STOM;yes
KLRG2;yes
CHRM5;no
CD2;yes
STK32C;no
CTD-2521M24.10;yes
TMEM125;yes
SDCBP2;yes
SERPINB8;yes
CHAD;yes
IGLON5;yes
TMPRSS11F;no
SCEL;yes
CHI3L1;yes
ASGR2;yes
HECW2;yes
NDRG4;yes
RUFY4;yes
BCAS1;yes
FGFBP1;yes
QRFP;yes
PCDH1;yes
BCO1;yes
C14orf37;yes
PRIMA1;no
ITM2A;yes
CLDN2;yes
LDB3;yes
CCDC81;yes
TMEM132E;yes
TG;yes
F10;yes
FMO6P;yes
LPA;yes
TTR;yes
ABLIM3;yes
ZIC3;no
TCAP;yes
PIGR;yes
DLX2;no
BAALC;yes
SLC6A20;yes
ANO2;yes
GLI1;no
CLEC4A;yes
MROH7-TTC4;yes
ZNF185;yes
HSD3B2;no
SIDT1;yes
SLC4A9;yes
ACTN2;yes
WDR63;yes
TCTEX1D4;no
SYT2;yes
NOX4;no
GRM3;no
UBE2U;no
NGF;yes
SLC6A17;yes
CELF3;yes
DCT;yes
TMC3;yes
CHRNA2;yes
ANG;no
NKPD1;yes
SHISA6;yes
RDH8;no
BPI;yes
PDK4;yes
FAM24B;yes
SPAG11A;yes
WFDC2;yes
RSPO1;yes
KRTAP2-2;no
ASTN2;no
PARVG;yes
NCCRP1;yes
ANG;yes
SEMA4G;yes
CRYBA4;yes
MEGF10;yes
CD96;yes
MAP6D1;no
LGALS3;yes
GTSF1;yes
CCL17;yes
FHL1;yes
SLC16A1;yes
SLITRK5;yes
SCUBE1;yes
IGSF11;yes
PRKAR2B;yes
FCGBP;yes
CA8;yes
SELM;yes
LY6G6C;yes
GALNT15;yes
RARRES1;yes
TMEM54;yes
CES1;yes
SRPK3;yes
DMP1;no
FAM19A3;yes
HTR2A;no
CD3G;yes
SCARB1;yes
STEAP2;yes
SPATA32;no
L3MBTL1;no
DNTT;yes
KLF1;yes
CYP3A7;yes
MYLK4;yes
TAS2R40;no
MBOAT4;yes
GZMA;yes
PADI2;yes
NOX1;no
NPC1L1;yes
MUC20;no
ACSM1;yes
VRTN;yes
IBSP;yes
TRPA1;yes
LALBA;no
NRG2;yes
LRRC4B;yes
TM4SF1;yes
HOXB8;yes
SLC51B;yes
NPY4R;no
KLK2;yes
SERPINA6;no
IFIT2;yes
VSX2;yes
NAT8B;no
CBLN1;yes
PAPL;yes
LRRC71;no
FAM183A;yes
DGAT2L6;no
DEGS2;no
SEMA3C;yes
PHLDA2;yes
DUOXA2;yes
OR10C1;no
TSPAN6;yes
STAG3L5P-PVRIG2P-PILRB;no
RAMP1;yes
PRL;yes
MAT1A;yes
GUCA2B;yes
SERPINB6;no
B3GNT8;yes
RAB38;yes
CLVS1;no
CCL22;yes
TNFSF11;yes
TMSB15A;no
RASL11A;yes
NLRP6;yes
CPN1;yes
STK32B;yes
LEFTY1;yes
CYP3A7;yes
C1QL3;no
SLC44A4;yes
KL;yes
SORCS1;yes
SMCO2;yes
NRGN;yes
ACP5;no
CAMKK1;yes
ARHGAP15;no
GDPD3;no
HSD17B2;no
DUSP9;no
NTN1;no
ZPBP2;no
MYL7;no
HCK;no
DDX60;no
KRTAP1-3;no
OR2Y1;no
FUT7;no
DNAI1;no
MC2R;no
CPA6;no
HS3ST2;no
TEX33;no
AIFM3;no
BEGAIN;no
TLX2;no
FGF7;no
EDN2;no
RTP3;no
APOB;no
OR5K3;no
PRL;no
FMO2;no
SYT6;no
SYT8;no
MYOM1;no
MAOB;no
RAB27B;no
GNRH1;no
FBXO16;no
PGLYRP3;no
LHX6;no
TMEM196;no
MIOX;no
GPR158;no
WNT8A;no
SGIP1;no
SYT16;no
STYK1;no
CACNA2D2;no
FGF18;no
KRTAP4-1;no
BFSP2;no
TLR7;no
MST1R;no
GSC;no
TTYH1;no
CITED1;no
TSPAN1;no
LAT2;no
GRTP1;no
C15orf48;no
GBX1;no
PDZD3;no
PSD2;no
LYPD5;no
KCND3;no
DMKN;no
LMOD2;no
LPAR4;no
CPA4;no
VSIG10L;no
CFAP43;no
CTTNBP2;no
CEACAM19;no
FAM3D;no
TREX2;no
GRB14;no
USP26;no
KIAA0895;no
REEP6;no
KNG1;no
MAGEA2;no
VWA5B1;no
RAB17;no
RIPPLY1;no
NXPH2;no
COX4I2;no
CIDEB;no
CRMP1;no
HPDL;no
NANOS3;no
CYP4F8;no
CREB5;no
ALDH1A1;no
ADRA2B;no
RIMKLB;no
HAPLN1;no
CD55;no
TAS2R10;no
RP4-576H24.4;no
ANKEF1;no
TNFRSF13B;no
BAMBI;no
NRN1L;no
CRACR2A;no
AC009133.22;no
OLFM2;no
MORC1;no
SPTBN2;no
DNAH7;no
C6;no
SLC24A1;no
ALDH3B2;no
CYTH4;no
MGARP;no
RSPH9;no
ERICH3;no
CLEC2A;no
GUCY2D;no
ISX;no
CNTN5;no
SDS;no
ATP7B;no
RERG;no
TMPRSS11E;no
GALNT13;no
ITGAX;no
CDH15;no
CPVL;no
FAM228A;no
SCN1A;no
C14orf105;no
SP6;no
GJB4;no
SLC35F2;no
CD300A;no
NPM2;no
TRIM71;no
SPRR1A;no
CHRNA1;no
CRABP2;no
ATF7IP2;no
BCL2A1;no
SLC10A5;no
FGFR3;no
KRT6A;no
PLVAP;no
COL8A1;no
FBXW12;no
KLK2;no
PTPRO;no
SLC23A1;no
TAAR6;no
SGK1;no
ANKRD7;no
RP11-507M3.1;no
RASAL3;no
NR0B1;no
FAM71F2;no
APCS;no
SCML2;no
HOXB6;no
NPW;no
RSPH6A;no
ALX4;no
TRPM1;no
MS4A18;no
APOL2;no
APOD;no
VPREB3;no
CLCA4;no
CEACAM16;no
CPNE5;no
C7orf57;no
OLR1;no
PRPH2;no
CFD;no
MMP12;no
CHGB;no
BCL2A1;no
FBXO43;no
SLC24A5;no
AADACL3;no
NID1;no
SPAG17;no
ALDH3B2;no
C9orf116;no
ISG15;no
TNFSF18;no
KCNK12;no
PRX;no
VSIG4;no
INHBA;no
TDO2;no
HSPA12B;no
ROPN1B;no
KCNJ10;no
SLC46A3;no
PLK3;no
F5;no
USP50;no
KCNAB2;no
IFIT3;no
CEACAM20;no
TRIM36;no
DKK4;no
CAV3;no
WNT5A;no
AADAC;no
GPRC5A;no
CCR1;no
CAPN12;no
AQP3;no
JPH4;no
PPARA;no
AKR1C4;no
COL9A1;no
CYP3A7;no
FAM131B;no
BMP8A;no
SYT9;no
BEST1;no
ABCG2;no
TMEM8C;no
KCNMB2;no
C15orf27;no
RNF224;no
TCP11X2;no
RP11-1228E12.3;no
GLB1L2;no
DCC;no
HOXC9;no
CHST10;no
CERS1;no
LPXN;no
ABCC9;no
SLC22A13;no
ACOT1;no
PODXL2;no
C4orf19;no
C4orf36;no
POU3F4;no
CLDN8;no
IL1RAPL1;no
CCDC183;no
PLD6;no
RHPN1;no
CLIC3;no
ADAMTS3;no
KLHDC7B;no
SLC39A2;no
FABP9;no
SLC17A4;no
KCNN2;no
PLA2G5;no
MAPT;no
S1PR5;no
CCR8;no
SLC13A2;no
SLC6A5;no
NEUROG2;no
TMEM37;no
CAV1;no
CYP19A1;no
PSAPL1;no
CES2;no
REEP1;no
TREML4;no
EDN1;no
AFF2;no
PPP1R3B;no
FAM179A;no
SGCA;no
FANK1;no
GSTA2;no
KCNAB3;no
TRPM6;no
EEPD1;no
TMEM71;no
MC4R;no
TMEM116;no
PRL;no
SLC17A7;no
CYP4F3;no
RIMS3;no
ARHGAP9;no
CYP2A6;no
FAM24B;no
PRL;no
DUSP5;no
IL18;no
CCDC148;no
KRTAP2-2;no
SLC29A4;no
TARM1;no
LRRN3;no
GATA4;no
MEGT1;no
FBXW12;no
ADRB3;no
C11orf87;no
P2RY6;no
RGS7BP;no
ACTRT3;no
BIN2;no
OR10AD1;no
CD164L2;no
ELOVL4;no
USH1G;no
PIANP;no
AVPR2;no
CSTA;no
NPTXR;no
ARX;no
KRT78;no
GIPR;no
CDH18;no
SYCP2;no
SPRR4;no
ABCA12;no
ITGB7;no
NLRP1;no
INSC;no
ABCA13;no
SH3TC1;no
TEAD4;no
CLDN10;no
PAX2;no
PRM3;no
ANXA13;no
CES2;no
FOXL2;no
ADCY7;no
IGFBP1;no
MORN5;no
MROH2A;no
RAPSN;no
CHRNA4;no
CD200R1L;no
NAT1;no
APOBEC4;no
LRRC55;no
TAS2R10;no
DHRS9;no
KRTAP7-1;no
NPHS1;no
SLC28A2;no
CXCL13;no
PDZRN3;no
TEX19;no
HHEX;no
SHCBP1L;no
ZNF423;no
MYO16;no
ACRV1;no
UPP2;no
ERICH6;no
ANKRD55;no
DUXA;no
IL33;no
PRL;no
IFIT3;no
GDF3;no
LIPN;no
DEFB1;no
SLITRK2;no
KRT9;no
ASPG;no
TMEM79;no
ZNF804B;no
LCT;no
NAT8L;no
TIFAB;no
TMIGD1;no
ITGA2B;no
EFNA3;no
PLA2G2F;no
ZNF578;no
HIST1H4B;no
CIDEA;no
TAS2R13;no
MSH4;no
COL13A1;no
MYRFL;no
FBXW12;no
CYP2D7P;no
AADACL4;no
GPR143;no
CRYBB1;no
IL36B;no
PRKCB;no
TTLL7;no
DPF1;no
STPG1;no
OAS1;no
RND3;no
IRG1;no
C9orf171;no
RPS6KL1;no
CYP3A5;no
LRGUK;no
BTN1A1;no
PDE3A;no
TAS2R16;no
ELAVL4;no
AMPD1;no
MYO18B;no
FFAR2;no
ITGB2;no
TMEM86A;no
ASB14;no
ANG;no
HS3ST6;no
PAH;no
NTF3;no
SFRP2;no
HEPACAM2;no
WNT7A;no
FOSL1;no
SLC15A5;no
TRANK1;no
SOX2;no
SLC35F3;no
BATF2;no
HTRA3;no
CA5B;no
TRIM16;no
C8orf46;no
FADS3;no
PKLR;no
OSGIN1;no
ZSWIM5;no
MRGPRX2;no
SPZ1;no
ZNF536;no
CSTA;no
CCDC11;no
MYH2;no
GRAMD2;no
PRPH;no
MORC2;no
CALHM1;no
HOXD11;no
TFEC;no
COL28A1;no
FAM20A;no
HEYL;no
WDR27;no
CRB2;no
GJA8;no
MYF6;no
LCP2;no
SMAGP;no
PIEZO2;no
FGF12;no
SHC2;no
RGS6;no
FAM170B;no
RDH12;no
DNAJB13;no
GJD4;no
GNB5;no
NAA11;no
SLC35F6;no
NEURL3;no
HAND2;no
C18orf42;no
KIAA0408;no
MYH14;no
B3GNT6;no
PERP;no
CREB3L1;no
KPNA7;no
OMD;no
EPN3;no
ABCC2;no
FAM84A;no
MS4A10;no
HOXA13;no
MAGEA2;no
SFTPA2;no
LFNG;no
AGBL1;no
NDUFA12;no
CLDN20;no
EFHC2;no
IVL;no
IFITM5;no
CDC42EP5;no
PODXL;no
PRL;no
ABCG4;no
MATN4;no
ETV2;no
RNF39;no
PYGM;no
ADAMTSL5;no
CALML5;no
GNAT2;no
IL17RE;no
DUOX2;no
NKX2-5;no
PGAP1;no
SMC1B;no
CERKL;no
LECT1;no
SPRR1A;no
PLSCR1;no
SLC2A2;no
CNKSR2;no
CA12;no
TRIM9;no
MRPL23;no
SULT6B1;no
TRIM72;no
CCL5;no
OPRM1;no
GJC2;no
CELSR2;no
SPTSSA;no
OTP;no
ELFN1;no
PDILT;no
MICA;no
CCDC121;no
POU4F1;no
STAT4;no
IL1B;no
DCST1;no
TMC7;no
GPR115;no
UBXN10;no
TNNC2;no
PTPLA;no
TCF15;no
D4S234E;no
ABLIM2;no
CCDC30;no
SCD;no
ARHGAP40;no
NEGR1;no
ARMC2;no
CARD11;no
CLDN23;no
ADCY2;no
VGLL2;no
RGS4;no
KCNQ5;no
TNFRSF19;no
UTS2R;no
C8B;no
GABBR2;no
ABAT;no
CYP27B1;no
C10orf10;no
FP325317.1;no
UBALD2;no
PAQR8;no
MERTK;no
FA2H;no
OGDHL;no
SAMD5;no
CITED4;no
MCHR1;no
KLB;no
RCAN2;no
GLP2R;no
RP11-295K3.1;no
CCDC74A;no
PANX2;no
SI;no
LIN28A;no
CLU;no
HOXC8;no
DYDC2;no
UGT1A8;no
TCP11;no
C6orf58;no
RAB40A;no
COL26A1;no
KCNH1;no
C11orf86;no
HOXD9;no
IL2;no
P2RX2;no
HEPH;no
SPACA4;no
CAMK2N1;no
CEA;no
RNASE4;no
TNS1;no
AMER2;no
OR1G1;no
TRIM2;no
FAP;no
DGKG;no
ASAH2B;no
STYXL1;no
FGF5;no
ATP8B1;no
UBL4B;no
PPAPDC3;no
OR9A4;no
ELMO1;no
RGAG4;no
PRL;no
KLK4;no
ISLR2;no
BFSP1;no
DHCR7;no
C3AR1;no
TAS2R31;no
KSR2;no
TMEM253;no
FRMD4B;no
CD200R1L;no
CLEC2A;no
GLT8D2;no
SLC24A2;no
TSHB;no
NLRC3;no
PPAP2A;no
SLC23A3;no
PTPRC;no
UNC45B;no
LRRIQ4;no
APOL2;no
ACKR3;no
TRPC3;no
C1orf210;no
TRAM1L1;no
TAS2R4;no
PRSS12;no
PODN;no
SLC17A9;no
EFCAB12;no
GABRB3;no
GBX2;no
KLHL31;no
PCSK1;no
FLVCR2;no
CHST6;no
GPR84;no
FRMD5;no
PRSS55;no
SLC26A9;no
C1QL2;no
AIM1L;no
SOX17;no
DTNA;no
MECOM;no
MAGEE2;no
CCDC150;no
PGAM2;no
ATP8B3;no
CCDC85A;no
FNDC5;no
ITPKA;no
SIGLEC11;no
ADH4;no
KLHL30;no
RDH16;no
OTOL1;no
VWCE;no
ANO7;no
MC5R;no
DMC1;no
HSBP1L1;no
LYPD8;no
FHL2;no
DNAH2;no
C1orf100;no
CES2;no
GDPD2;no
HCAR3;no
PPP4R4;no
CCL2;no
TACSTD2;no
ITGA4;no
TGM1;no
RNF152;no
PDGFRL;no
MTCL1;no
SLFN12L;no
CTD-2370N5.3;no
TBX2;no
PLEKHG6;no
MOXD1;no
STAC3;no
TSPAN12;no
SLC39A8;no
MSH5-SAPCD1;no
SH2D2A;no
RASGRP2;no
ST6GAL1;no
MGST1;no
APOC1;no
RNF133;no
LRRC30;no
SIX3;no
KIF5A;no
MYO7B;no
SLC45A3;no
CD109;no
HEBP2;no
TRPV4;no
HAMP;no
LILRA2;no
DNALI1;no
TTC21A;no
CLCF1;no
DPF3;no
UGT3A2;no
UNCX;no
SBSN;no
SEC14L4;no
CLEC4A;no
ODF3L2;no
PFN4;no
NNMT;no
KCTD19;no
C21orf58;no
RASAL1;no
UPK3BL;no
SEMA3E;no
WNT5B;no
ALOX12;no
SLC26A5;no
TMEM215;no
CXCL1;no
TMEM236;no
HRH1;no
RNF182;no
CDH6;no
CYS1;no
OMG;no
CD300A;no
KCNIP4;no
GALR2;no
MAP6;no
DAB2;no
KCP;no
KLK2;no
FOXA2;no
EGF;no
CLDN5;no
XCR1;no
GJB3;no
SMIM24;no
MLIP;no
IRF7;no
HCLS1;no
GJA5;no
SCNN1A;no
SORBS2;no
HOXA1;no
LRRD1;no
EPGN;no
VSX1;no
ACKR1;no
BTBD16;no
CLCA4;no
RAD51B;no
RAPGEFL1;no
DNASE1L2;no
SPIRE2;no
SUCNR1;no
VIPR1;no
GCNT2;no
GLRX;no
ZCCHC12;no
RAB3C;no
TTC23L;no
CIDEC;no
PMAIP1;no
HCAR1;no
RGS21;no
ELAVL2;no
PNMAL1;no
CTB-133G6.1;no
SEPP1;no
TMEM45B;no
PABPC1L;no
ODF3;no
NEFH;no
MAP7D3;no
TNNT3;no
ACOT4;no
KCNJ13;no
SLA2;no
RSPH1;no
CASC1;no
AGBL2;no
LRRN4CL;no
CDR2;no
FAM135B;no
ABCB9;no
CARD14;no
RTP4;no
SLC35E4;no
PSMA8;no
GRIA4;no
PABPC3;no
ZDHHC2;no
HR;no
MGAM;no
ANXA9;no
VIL1;no
CELF5;no
C17orf78;no
KLF5;no
FOXC2;no
RYR1;no
TBR1;no
WDR17;no
FSTL3;no
POF1B;no
NMB;no
KCNH2;no
OPN1SW;no
FAM217A;no
TEX22;no
SCUBE3;no
PINLYP;no
FXYD6-FXYD2;no
AQP6;no
RP1L1;no
DEPTOR;no
CST6;no
H6PD;no
C1orf233;no
PTPRCAP;no
AADACL4;no
CD40LG;no
SYCP3;no
LIN7B;no
PPP2R2B;no
LCA5L;no
ALOX15B;no
PAPLN;no
ADD2;no
GPR37L1;no
TMEM56-RWDD3;no
RASGRF2;no
ADCY10;no
ATP6V1G3;no
HNMT;no
ATG9B;no
MSRB2;no
NAT8B;no
TCF24;no
NUP62CL;no
PTF1A;no
PDE8A;no
COL9A3;no
SCML4;no
ABCG2;no
COX7A1;no
IFI44;no
KCNN1;no
BAG2;no
NFE2;no
OR2AG1;no
GPR37;no
SYNPO2L;no
C16orf96;no
KRT81;no
KRT33B;no
CAPN11;no
SDR9C7;no
CCDC182;no
ASB11;no
THEMIS2;no
FASLG;no
SRRM3;no
NACAD;no
SOX6;no
NALCN;no
NOS1;no
OXTR;no
LHFPL1;no
KRT81;no
ZNF831;no
DKK2;no
C1orf228;no
HNF1B;no
PRR5;no
MMP20;no
SPINK5;no
MYRIP;no
GNAT3;no
DMRTA1;no
C1QL1;no
LRRC32;no
DUSP8;no
C16orf45;no
ZNF354A;no
CYP2B6;no
TMEM139;no
NAT1;no
BACE2;no
HIST3H2BB;no
MGAT3;no
GDF5;no
IL36G;no
PRRT3;no
FSIP1;no
GAL3ST2;no
RSPO3;no
ONECUT2;no
KATNAL2;no
GC;no
AOAH;no
TMEM25;no
FNDC1;no
WDR86;no
GABRB2;no
CCL7;no
SLC2A10;no
CABP5;no
SBSPON;no
CHN2;no
MS4A6E;no
NTRK3;no
ENO4;no
TEKT2;no
EFHC1;no
RAB37;no
INSM2;no
PPM1J;no
ATP10B;no
MYCN;no
FAM65B;no
CTHRC1;no
USP51;no
DBH;no
NUPR1;no
OR2V2;no
TTBK1;no
ASPA;no
CRIP1;no
BCL2A1;no
CALML4;no
SPDYA;no
SGMS2;no
NAPSA;no
KCNK4;no
RBM44;no
RASL12;no
KIAA1211L;no
TMPRSS13;no
CD200R1L;no
KCNG2;no
GPR98;no
MS4A15;no
PCDH19;no
KRTAP3-2;no
ALOXE3;no
CTH;no
TAS2R10;no
MAPK10;no
CCDC24;no
SLMO1;no
RHOV;no
CPN2;no
PHYHIP;no
P2RY2;no
KCNQ4;no
PALMD;no
PLA2G3;no
ENTPD3;no
MAMDC4;no
A1CF;no
HOXC10;no
CACNB4;no
SMIM5;no
CCR3;no
DACH1;no
PCSK4;no
KIFC3;no
ECI2;no
TUBB3;no
CACNG5;no
PRL;no
MMP23B;no
TPD52L1;no
NRG4;no
MYOF;no
LMO2;no
KCNJ18;no
AHSG;no
CCNB3;no
CD36;no
ALOX5AP;no
VSTM5;no
PLK2;no
ABCC6;no
TEX35;no
DOC2B;no
IL25;no
ARG1;no
MYBPH;no
CLRN3;no
DOK4;no
TLL1;no
HIST1H1T;no
KLHL34;no
FAM196B;no
LTB4R;no
HCRT;no
SYBU;no
RASSF9;no
TRIM42;no
TMEM63C;no
GRID2;no
GALNT6;no
HTR1B;no
FAM205A;no
HOXA5;no
GIPC2;no
RILP;no
C17orf50;no
PLXDC2;no
OOEP;no
REEP2;no
TMEM130;no
PIK3AP1;no
SLITRK6;no
CA7;no
PRICKLE2;no
HBEGF;no
IFNL3;no
PGPEP1L;no
KRT75;no
APOBR;no
BBOX1;no
KRT79;no
CAMK1D;no
IL12RB2;no
ADAM30;no
TNNI2;no
GPR111;no
PIR;no
PI16;no
XKRX;no
COL20A1;no
SLCO6A1;no
GCHFR;no
MOCS1;no
CALB1;no
CD55;no
TRPM5;no
PTH2;no
TMEM154;no
PLIN4;no
CTD-2619J13.28;no
MYO1A;no
GCK;no
LRRC10;no
SCARA5;no
TRIM66;no
TGM4;no
NKAIN1;no
SPNS3;no
CAPN5;no
PNP;no
DFNA5;no
DSC1;no
SLC12A2;no
CD8A;no
PRL;no
SLC22A18;no
SCN2A;no
MYT1;no
CCL27;no
ZNF215;no
OR14C36;no
RGCC;no
ADORA2B;no
EPHX1;no
SORD;no
NUDT11;no
ACSBG1;no
OR5W2;no
ISM2;no
CLEC4E;no
AATK;no
LRRC25;no
HDHD1;no
DOCK3;no
PROCR;no
LRRC23;no
TTLL11;no
TMEM132D;no
FOXO6;no
GPR56;no
SGCZ;no
KCNH5;no
PRKCQ;no
SUSD3;no
EBF3;no
DSG3;no
GARNL3;no
ALLC;no
TMEM182;no
PPAP2C;no
SLC34A2;no
CD5;no
RASSF10;no
EPS8L1;no
MC1R;no
PPP1R14D;no
NPY1R;no
TRHR;no
MACROD1;no
KLK2;no
CMPK2;no
USP9Y;no
RNF144A;no
ATP6V1E2;no
NPVF;no
AFF3;no
CFP;no
FAM198A;no
JPH2;no
COL7A1;no
GRP;no
UBAP1L;no
GK;no
HDAC5;no
CFI;no
C6orf132;no
HBB;no
SECTM1;no
DEGS1;no
NECAB3;no
LCN12;no
TNNC1;no
MTMR7;no
ICAM2;no
BHLHE22;no
SLC25A45;no
BAIAP3;no
FBXO41;no
RIMS1;no
IGF2BP2;no
DDO;no
DAAM2;no
GGT6;no
KIAA1731NL;no
GPR3;no
SLC6A19;no
SLC6A20;no
MACC1;no
RASGRP3;no
CYP4V2;no
ECSCR;no
WDFY4;no
NIM1K;no
CD248;no
IFNL3;no
MAP3K6;no
DTX1;no
PTK6;no
CKB;no
ACSM2A;no
LDHB;no
KIF2B;no
NKD1;no
NES;no
SUSD1;no
ACSL6;no
RAN;no
PDE1A;no
MRGPRX2;no
COL11A2;no
CDKL4;no
C6orf25;no
ZNF541;no
RTN1;no
SLC16A11;no
ARC;no
LRRN2;no
SOSTDC1;no
CLN8;no
C1orf116;no
MBOAT2;no
SLC16A10;no
MYLPF;no
CECR2;no
MCOLN2;no
NOTCH3;no
DGKI;no
HOMER2;no
PAK1;no
CXCL1;no
ATP4A;no
USH2A;no
RHPN2;no
HBB;no
SPATA33;no
ZAP70;no
CKM;no
ST8SIA4;no
GUCY1B3;no
EDIL3;no
PPP3CC;no
LILRA2;no
XAF1;no
COPRS;no
COL4A5;no
CALM2;no
GRIK3;no
RAPGEF3;no
LRMP;no
PLCB2;no
CD247;no
GRIN1;no
ENGASE;no
RHOH;no
RARRES2;no
PRSS8;no
ARHGAP24;no
HRNR;no
FGFR4;no
SLCO1A2;no
ATP8A2;no
NXNL1;no
CCRL2;no
MMP24;no
WDR93;no
SLC26A1;no
SLC9A4;no
SLC28A1;no
PHF11;no
COLGALT2;no
TEX26;no
DDC;no
RHOF;no
KRT24;no
LCK;no
MLXIPL;no
TNFRSF25;no
NTRK1;no
CYP2S1;no
WNT16;no
SERPINA3;no
SLC19A1;no
RAP1GAP2;no
GRIN2B;no
ITIH2;no
CHGA;no
ASS1;no
MROH8;no
CHRM3;no
SPHKAP;no
SERPINB2;no
OAS3;no
RETN;no
FAM78A;no
GJB6;no
ALDH8A1;no
SVOP;no
CCRN4L;no
SERPINE3;no
PAQR5;no
ASPRV1;no
MEOX2;no
F2RL2;no
GRM8;no
IGFBPL1;no
HTR2B;no
PIK3R5;no
OPTN;no
TRABD2B;no
CDH13;no
DFNB59;no
MSR1;no
NLRP9;no
TTC22;no
MAP3K7CL;no
FAM13C;no
EFR3B;no
MTUS1;no
WAS;no
F2RL3;no
SCD;no
RWDD3;no
SCRN1;no
EGFL8;no
ASIC1;no
CSGALNACT1;no
GDF10;no
SRPX2;no
DUOX1;no
PXT1;no
CDK5R2;no
MEP1A;no
OVOL2;no
NFKBIZ;no
FGD3;no
CD37;no
PORCN;no
SUSD2;no
LGALS3BP;no
CAV2;no
IL1RAP;no
SYNGR3;no
C17orf97;no
PHKG1;no
F13B;no
PSPN;no
PTPLAD2;no
LAT;no
TEKT5;no
CCR2;no
PTPRU;no
SLC46A1;no
CDO1;no
AGMO;no
KCNQ1;no
ZSWIM7;no
CACNA1C;no
ZDHHC22;no
PPP1R27;no
BARX2;no
CD38;no
BAAT;no
PLEKHA6;no
PDE6A;no
NRARP;no
SAT2;no
ZDBF2;no
DYSF;no
SOCS2;no
ANK2;no
C1orf185;no
FN3K;no
IL2RB;no
FCER2;no
MFAP5;no
TNFSF8;no
SMIM18;no
IGF2BP3;no
TLN2;no
ABHD3;no
PLA2G2D;no
KCNS3;no
BTK;no
EPHA4;no
LAIR2;no
MTNR1B;no
GSTK1;no
DIRAS1;no
TMEM44;no
BTBD19;no
HMCN1;no
LRP2;no
SEC16B;no
ANKRD63;no
NR1H3;no
SKOR1;no
NRL;no
C16orf71;no
C19orf80;no
NME5;no
DPEP1;no
POPDC3;no
JPH3;no
SCAMP5;no
TAS2R41;no
ELAVL3;no
HGFAC;no
LBP;no
KLHL6;no
TCHH;no
ARHGEF4;no
GAS2;no
GFPT2;no
RP11-96O20.4;no
DBI;no
TMEM132B;no
ACSF2;no
GFI1B;no
CX3CR1;no
ADCY3;no
GABRR2;no
ANO9;no
AVIL;no
SFXN5;no
PHYHIPL;no
SRRM4;no
RP1-139D8.6;no
LEPR;no
SERPINB1;no
THEM6;no
FGL2;no
LRRC15;no
THEMIS;no
FUCA2;no
OAS1;no
LEMD1;no
INPP5J;no
GALNT14;no
TLR4;no
G0S2;no
OR9I1;no
CCDC113;no
DLL4;no
EDA;no
PNPLA1;no
ANKRD22;no
FLJ22184;no
PROCA1;no
CD3E;no
NOTCH4;no
NANOS1;no
RUNX2;no
PARP12;no
GALC;no
ACSS1;no
FREM1;no
TRPC6;no
CNTNAP5;no
SLC5A9;no
KRT33B;no
UPK3B;no
TINAG;no
VGLL3;no
NTN4;no
NIPAL2;no
FSCB;no
ETV4;no
SOX8;no
SOWAHA;no
ANKRD23;no
P2RX6;no
CYP2C19;no
ATP13A4;no
KERA;no
ACPP;no
GPT;no
GOT1;no
BPGM;no
EPB41L1;no
C1QTNF1;no
PMEL;no
PXDC1;no
COL5A3;no
PTGFR;no
LRRC66;no
APOL2;no
ABCA6;no
RP4-576H24.4;no
IL31RA;no
FANCD2;no
CCBL1;no
TFR2;no
CDKN1C;no
DNAH1;no
DOK2;no
SHISA7;no
CLIP3;no
SUSD4;no
OPHN1;no
KRT20;no
OR8K5;no
TPPP3;no
ID2;no
NPR3;no
PRR15L;no
WNT9A;no
BAI1;no
KLC3;no
FRAT2;no
CTSA;no
PVR;no
CTSW;no
C15orf52;no
FAM46D;no
GHR;no
HTATIP2;no
SFN;no
CALR3;no
GPR4;no
ATP6V0A4;no
RBBP8NL;no
ENTHD1;no
SHANK1;no
CLDN1;no
PARP16;no
PRDX5;no
C1QTNF2;no
CLDN15;no
OR5AK2;no
ARL14;no
TAS2R14;no
RP13-279N23.2;no
SDC1;no
TRPV3;no
OASL;no
WDR54;no
GPRC5C;no
CELF6;no
PCDHB4;no
ADAMTS12;no
CCDC129;no
ECEL1;no
ACOT1;no
S100A10;no
DNAJB4;no
GPA33;no
WSCD1;no
ACOT1;no
PLA2G7;no
FAM229A;no
IPMK;no
ASCL4;no
FAM167B;no
FHDC1;no
DCLK1;no
LRRC46;no
NAT8B;no
PRR23C;no
AQP1;no
ERBB3;no
PLA2G2C;no
ITLN1;no
MLF1;no
TOM1;no
CORO2B;no
NOXO1;no
ECM2;no
DLX4;no
ARHGEF26;no
ARPP21;no
SLC47A1;no
GPR1;no
GSS;no
FAM109A;no
ACVR1B;no
TXNDC2;no
ACTA1;no
BTG4;no
PHF11;no
MICAL2;no
C19orf57;no
OR7A5;no
SLAMF9;no
EVA1C;no
SLC43A2;no
OTX1;no
ORM1;no
FEZ1;no
RAMP2;no
CARD9;no
RGS22;no
CYP8B1;no
